iter	Passed	Remaining
0	1	116
1	2	101
2	2	94
3	3	85
4	4	82
5	5	79
6	5	78
7	6	76
8	7	74
9	8	73
10	8	72
11	9	71
12	10	70
13	11	69
14	12	68
15	12	67
16	13	65
17	14	64
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	33	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	24
69	54	23
70	55	22
71	56	21
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	10
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
